no_object,no_place,nmvw_actor
4,2,https://hdl.handle.net/20.500.11840/pi1103
1,1,https://hdl.handle.net/20.500.11840/pi1105
5,1,https://hdl.handle.net/20.500.11840/pi1108
8,2,https://hdl.handle.net/20.500.11840/pi1109
7,1,https://hdl.handle.net/20.500.11840/pi111
2,1,https://hdl.handle.net/20.500.11840/pi1111
1,3,https://hdl.handle.net/20.500.11840/pi1113
29,5,https://hdl.handle.net/20.500.11840/pi1115
39,14,https://hdl.handle.net/20.500.11840/pi1116
1,1,https://hdl.handle.net/20.500.11840/pi112
1,2,https://hdl.handle.net/20.500.11840/pi1123
70,10,https://hdl.handle.net/20.500.11840/pi1125
1,1,https://hdl.handle.net/20.500.11840/pi1127
1,1,https://hdl.handle.net/20.500.11840/pi1128
1,1,https://hdl.handle.net/20.500.11840/pi1129
2,1,https://hdl.handle.net/20.500.11840/pi113
7,5,https://hdl.handle.net/20.500.11840/pi1130
6,1,https://hdl.handle.net/20.500.11840/pi1131
5,3,https://hdl.handle.net/20.500.11840/pi1134
1,1,https://hdl.handle.net/20.500.11840/pi1136
1,1,https://hdl.handle.net/20.500.11840/pi1137
29,5,https://hdl.handle.net/20.500.11840/pi1138
6,2,https://hdl.handle.net/20.500.11840/pi1139
5,3,https://hdl.handle.net/20.500.11840/pi1140
8,1,https://hdl.handle.net/20.500.11840/pi1144
104,19,https://hdl.handle.net/20.500.11840/pi1145
16,9,https://hdl.handle.net/20.500.11840/pi1146
1,1,https://hdl.handle.net/20.500.11840/pi1148
21,4,https://hdl.handle.net/20.500.11840/pi1153
3,4,https://hdl.handle.net/20.500.11840/pi1154
2,2,https://hdl.handle.net/20.500.11840/pi1157
2,2,https://hdl.handle.net/20.500.11840/pi1159
1,1,https://hdl.handle.net/20.500.11840/pi116
1,1,https://hdl.handle.net/20.500.11840/pi1160
10,6,https://hdl.handle.net/20.500.11840/pi1161
1,1,https://hdl.handle.net/20.500.11840/pi1163
4,1,https://hdl.handle.net/20.500.11840/pi1164
14,3,https://hdl.handle.net/20.500.11840/pi1165
4,3,https://hdl.handle.net/20.500.11840/pi1166
1,1,https://hdl.handle.net/20.500.11840/pi1168
3,2,https://hdl.handle.net/20.500.11840/pi1169
1,2,https://hdl.handle.net/20.500.11840/pi117
1,1,https://hdl.handle.net/20.500.11840/pi1171
3,3,https://hdl.handle.net/20.500.11840/pi1173
2,1,https://hdl.handle.net/20.500.11840/pi1174
2,1,https://hdl.handle.net/20.500.11840/pi1175
4,1,https://hdl.handle.net/20.500.11840/pi1176
2,2,https://hdl.handle.net/20.500.11840/pi1177
13,8,https://hdl.handle.net/20.500.11840/pi1178
2,1,https://hdl.handle.net/20.500.11840/pi118
1,1,https://hdl.handle.net/20.500.11840/pi1180
2,1,https://hdl.handle.net/20.500.11840/pi1181
3,3,https://hdl.handle.net/20.500.11840/pi1184
66,7,https://hdl.handle.net/20.500.11840/pi1185
46,12,https://hdl.handle.net/20.500.11840/pi1187
9,3,https://hdl.handle.net/20.500.11840/pi1188
28,9,https://hdl.handle.net/20.500.11840/pi1189
4,6,https://hdl.handle.net/20.500.11840/pi119
47,6,https://hdl.handle.net/20.500.11840/pi1190
1,1,https://hdl.handle.net/20.500.11840/pi1191
1,1,https://hdl.handle.net/20.500.11840/pi1192
1,3,https://hdl.handle.net/20.500.11840/pi1193
1,1,https://hdl.handle.net/20.500.11840/pi1194
1,1,https://hdl.handle.net/20.500.11840/pi1195
18,4,https://hdl.handle.net/20.500.11840/pi1197
6,2,https://hdl.handle.net/20.500.11840/pi12
13,3,https://hdl.handle.net/20.500.11840/pi1200
1,1,https://hdl.handle.net/20.500.11840/pi1201
2,1,https://hdl.handle.net/20.500.11840/pi1203
2,1,https://hdl.handle.net/20.500.11840/pi1204
4,1,https://hdl.handle.net/20.500.11840/pi1206
3,2,https://hdl.handle.net/20.500.11840/pi1207
1,1,https://hdl.handle.net/20.500.11840/pi1208
10,3,https://hdl.handle.net/20.500.11840/pi1209
14,3,https://hdl.handle.net/20.500.11840/pi121
2,1,https://hdl.handle.net/20.500.11840/pi1210
2,1,https://hdl.handle.net/20.500.11840/pi1211
1,1,https://hdl.handle.net/20.500.11840/pi1212
3,1,https://hdl.handle.net/20.500.11840/pi1214
1,1,https://hdl.handle.net/20.500.11840/pi1215
7,1,https://hdl.handle.net/20.500.11840/pi1216
128,48,https://hdl.handle.net/20.500.11840/pi1219
7,7,https://hdl.handle.net/20.500.11840/pi1220
36,1,https://hdl.handle.net/20.500.11840/pi1221
2,2,https://hdl.handle.net/20.500.11840/pi1222
309,25,https://hdl.handle.net/20.500.11840/pi1223
3,4,https://hdl.handle.net/20.500.11840/pi1224
2,5,https://hdl.handle.net/20.500.11840/pi1225
2,1,https://hdl.handle.net/20.500.11840/pi1228
14,2,https://hdl.handle.net/20.500.11840/pi1232
1,1,https://hdl.handle.net/20.500.11840/pi1234
8,1,https://hdl.handle.net/20.500.11840/pi1235
4,2,https://hdl.handle.net/20.500.11840/pi1236
83,11,https://hdl.handle.net/20.500.11840/pi1240
463,95,https://hdl.handle.net/20.500.11840/pi1241
47,11,https://hdl.handle.net/20.500.11840/pi1243
36,11,https://hdl.handle.net/20.500.11840/pi1246
2,1,https://hdl.handle.net/20.500.11840/pi1247
1,1,https://hdl.handle.net/20.500.11840/pi1249
1,1,https://hdl.handle.net/20.500.11840/pi125
1,1,https://hdl.handle.net/20.500.11840/pi1250
20,1,https://hdl.handle.net/20.500.11840/pi1251
99,18,https://hdl.handle.net/20.500.11840/pi1252
16,13,https://hdl.handle.net/20.500.11840/pi1255
1,2,https://hdl.handle.net/20.500.11840/pi1258
6,2,https://hdl.handle.net/20.500.11840/pi1261
3,3,https://hdl.handle.net/20.500.11840/pi1267
1,1,https://hdl.handle.net/20.500.11840/pi1268
1,1,https://hdl.handle.net/20.500.11840/pi127
5,3,https://hdl.handle.net/20.500.11840/pi1270
51,16,https://hdl.handle.net/20.500.11840/pi1272
1,1,https://hdl.handle.net/20.500.11840/pi1274
2,2,https://hdl.handle.net/20.500.11840/pi1275
19,1,https://hdl.handle.net/20.500.11840/pi1278
5,2,https://hdl.handle.net/20.500.11840/pi1281
162,44,https://hdl.handle.net/20.500.11840/pi1282
77,21,https://hdl.handle.net/20.500.11840/pi1283
26,9,https://hdl.handle.net/20.500.11840/pi1285
2,2,https://hdl.handle.net/20.500.11840/pi1288
3,2,https://hdl.handle.net/20.500.11840/pi1289
1,1,https://hdl.handle.net/20.500.11840/pi1290
14,1,https://hdl.handle.net/20.500.11840/pi1292
301,5,https://hdl.handle.net/20.500.11840/pi1293
1,1,https://hdl.handle.net/20.500.11840/pi1294
1,1,https://hdl.handle.net/20.500.11840/pi1298
159,4,https://hdl.handle.net/20.500.11840/pi1299
15,1,https://hdl.handle.net/20.500.11840/pi13
1,1,https://hdl.handle.net/20.500.11840/pi1302
1,1,https://hdl.handle.net/20.500.11840/pi1303
39,18,https://hdl.handle.net/20.500.11840/pi1304
2,2,https://hdl.handle.net/20.500.11840/pi1306
11,10,https://hdl.handle.net/20.500.11840/pi1308
4,3,https://hdl.handle.net/20.500.11840/pi1309
35,1,https://hdl.handle.net/20.500.11840/pi131
2,1,https://hdl.handle.net/20.500.11840/pi1310
4,1,https://hdl.handle.net/20.500.11840/pi1311
1,1,https://hdl.handle.net/20.500.11840/pi1313
1,1,https://hdl.handle.net/20.500.11840/pi1314
529,85,https://hdl.handle.net/20.500.11840/pi1315
2,3,https://hdl.handle.net/20.500.11840/pi1316
92,3,https://hdl.handle.net/20.500.11840/pi1317
7,3,https://hdl.handle.net/20.500.11840/pi132
40,1,https://hdl.handle.net/20.500.11840/pi1320
1,1,https://hdl.handle.net/20.500.11840/pi1324
15,7,https://hdl.handle.net/20.500.11840/pi1325
3,3,https://hdl.handle.net/20.500.11840/pi1326
1,1,https://hdl.handle.net/20.500.11840/pi1327
2,1,https://hdl.handle.net/20.500.11840/pi1329
7,2,https://hdl.handle.net/20.500.11840/pi1331
1,1,https://hdl.handle.net/20.500.11840/pi1332
80,27,https://hdl.handle.net/20.500.11840/pi1333
1,1,https://hdl.handle.net/20.500.11840/pi1335
4,4,https://hdl.handle.net/20.500.11840/pi1336
619,54,https://hdl.handle.net/20.500.11840/pi1337
1,1,https://hdl.handle.net/20.500.11840/pi1338
5,2,https://hdl.handle.net/20.500.11840/pi134
135,15,https://hdl.handle.net/20.500.11840/pi1340
2,1,https://hdl.handle.net/20.500.11840/pi1341
249,7,https://hdl.handle.net/20.500.11840/pi1343
21,6,https://hdl.handle.net/20.500.11840/pi1344
44,2,https://hdl.handle.net/20.500.11840/pi1345
1,1,https://hdl.handle.net/20.500.11840/pi1346
28,8,https://hdl.handle.net/20.500.11840/pi1350
9,3,https://hdl.handle.net/20.500.11840/pi1351
164,4,https://hdl.handle.net/20.500.11840/pi1352
3,1,https://hdl.handle.net/20.500.11840/pi1354
55,14,https://hdl.handle.net/20.500.11840/pi1355
16,4,https://hdl.handle.net/20.500.11840/pi1356
1,1,https://hdl.handle.net/20.500.11840/pi1358
34,14,https://hdl.handle.net/20.500.11840/pi1359
811,28,https://hdl.handle.net/20.500.11840/pi1363
74,14,https://hdl.handle.net/20.500.11840/pi1364
12,1,https://hdl.handle.net/20.500.11840/pi1367
1,1,https://hdl.handle.net/20.500.11840/pi1369
3,2,https://hdl.handle.net/20.500.11840/pi137
5,1,https://hdl.handle.net/20.500.11840/pi1370
1,1,https://hdl.handle.net/20.500.11840/pi1371
5,1,https://hdl.handle.net/20.500.11840/pi1374
4,1,https://hdl.handle.net/20.500.11840/pi1375
4,1,https://hdl.handle.net/20.500.11840/pi1376
12,6,https://hdl.handle.net/20.500.11840/pi1378
38,3,https://hdl.handle.net/20.500.11840/pi138
3,1,https://hdl.handle.net/20.500.11840/pi1382
9,1,https://hdl.handle.net/20.500.11840/pi1384
1,1,https://hdl.handle.net/20.500.11840/pi1385
1,1,https://hdl.handle.net/20.500.11840/pi1387
3,2,https://hdl.handle.net/20.500.11840/pi1391
1,1,https://hdl.handle.net/20.500.11840/pi1395
7,1,https://hdl.handle.net/20.500.11840/pi1396
1,1,https://hdl.handle.net/20.500.11840/pi1398
350,7,https://hdl.handle.net/20.500.11840/pi1399
4,2,https://hdl.handle.net/20.500.11840/pi14
4,2,https://hdl.handle.net/20.500.11840/pi140
1,1,https://hdl.handle.net/20.500.11840/pi1401
1,1,https://hdl.handle.net/20.500.11840/pi1402
5,2,https://hdl.handle.net/20.500.11840/pi1405
12,3,https://hdl.handle.net/20.500.11840/pi1406
3,2,https://hdl.handle.net/20.500.11840/pi1407
3,1,https://hdl.handle.net/20.500.11840/pi1408
17,5,https://hdl.handle.net/20.500.11840/pi1409
112,10,https://hdl.handle.net/20.500.11840/pi141
5,3,https://hdl.handle.net/20.500.11840/pi1410
2,1,https://hdl.handle.net/20.500.11840/pi1411
12,8,https://hdl.handle.net/20.500.11840/pi1412
71,6,https://hdl.handle.net/20.500.11840/pi1413
2,2,https://hdl.handle.net/20.500.11840/pi1416
2,1,https://hdl.handle.net/20.500.11840/pi1417
1,1,https://hdl.handle.net/20.500.11840/pi1418
30,12,https://hdl.handle.net/20.500.11840/pi142
3,2,https://hdl.handle.net/20.500.11840/pi1420
2,1,https://hdl.handle.net/20.500.11840/pi1421
2,2,https://hdl.handle.net/20.500.11840/pi1422
14,3,https://hdl.handle.net/20.500.11840/pi1424
1,1,https://hdl.handle.net/20.500.11840/pi1425
3,2,https://hdl.handle.net/20.500.11840/pi1426
3,1,https://hdl.handle.net/20.500.11840/pi143
8,2,https://hdl.handle.net/20.500.11840/pi1430
76,11,https://hdl.handle.net/20.500.11840/pi1431
5,3,https://hdl.handle.net/20.500.11840/pi1432
14,3,https://hdl.handle.net/20.500.11840/pi1434
44,16,https://hdl.handle.net/20.500.11840/pi1436
3,3,https://hdl.handle.net/20.500.11840/pi1437
31,8,https://hdl.handle.net/20.500.11840/pi1439
1,1,https://hdl.handle.net/20.500.11840/pi144
2,1,https://hdl.handle.net/20.500.11840/pi1440
25,2,https://hdl.handle.net/20.500.11840/pi1442
8,2,https://hdl.handle.net/20.500.11840/pi1443
1,1,https://hdl.handle.net/20.500.11840/pi1444
7,1,https://hdl.handle.net/20.500.11840/pi1445
12,4,https://hdl.handle.net/20.500.11840/pi1446
2,1,https://hdl.handle.net/20.500.11840/pi1447
5,2,https://hdl.handle.net/20.500.11840/pi1448
1,1,https://hdl.handle.net/20.500.11840/pi1449
1,1,https://hdl.handle.net/20.500.11840/pi1450
15,8,https://hdl.handle.net/20.500.11840/pi1452
55,6,https://hdl.handle.net/20.500.11840/pi1454
6,2,https://hdl.handle.net/20.500.11840/pi1455
14,3,https://hdl.handle.net/20.500.11840/pi1459
8,2,https://hdl.handle.net/20.500.11840/pi146
16,5,https://hdl.handle.net/20.500.11840/pi1460
1,1,https://hdl.handle.net/20.500.11840/pi1461
1,1,https://hdl.handle.net/20.500.11840/pi1463
2,1,https://hdl.handle.net/20.500.11840/pi1464
4,2,https://hdl.handle.net/20.500.11840/pi1465
9,5,https://hdl.handle.net/20.500.11840/pi1466
1,1,https://hdl.handle.net/20.500.11840/pi1467
1,2,https://hdl.handle.net/20.500.11840/pi1468
6,2,https://hdl.handle.net/20.500.11840/pi1470
2,2,https://hdl.handle.net/20.500.11840/pi1474
2,1,https://hdl.handle.net/20.500.11840/pi1475
1,1,https://hdl.handle.net/20.500.11840/pi1476
2,2,https://hdl.handle.net/20.500.11840/pi1478
6,1,https://hdl.handle.net/20.500.11840/pi148
25,11,https://hdl.handle.net/20.500.11840/pi1481
10,8,https://hdl.handle.net/20.500.11840/pi1482
2,1,https://hdl.handle.net/20.500.11840/pi1483
2,1,https://hdl.handle.net/20.500.11840/pi1485
19,7,https://hdl.handle.net/20.500.11840/pi1486
3,3,https://hdl.handle.net/20.500.11840/pi1487
7,2,https://hdl.handle.net/20.500.11840/pi149
1,1,https://hdl.handle.net/20.500.11840/pi1491
2,1,https://hdl.handle.net/20.500.11840/pi1494
25,6,https://hdl.handle.net/20.500.11840/pi1499
1,1,https://hdl.handle.net/20.500.11840/pi150
36,1,https://hdl.handle.net/20.500.11840/pi1500
188,16,https://hdl.handle.net/20.500.11840/pi1506
2,1,https://hdl.handle.net/20.500.11840/pi1507
1,1,https://hdl.handle.net/20.500.11840/pi1508
5,2,https://hdl.handle.net/20.500.11840/pi1509
3,2,https://hdl.handle.net/20.500.11840/pi1510
1,1,https://hdl.handle.net/20.500.11840/pi1512
136,13,https://hdl.handle.net/20.500.11840/pi1514
1,2,https://hdl.handle.net/20.500.11840/pi1515
15,2,https://hdl.handle.net/20.500.11840/pi1516
1770,197,https://hdl.handle.net/20.500.11840/pi1517
8,1,https://hdl.handle.net/20.500.11840/pi1520
47,5,https://hdl.handle.net/20.500.11840/pi1521
47,5,https://hdl.handle.net/20.500.11840/pi1522
47,5,https://hdl.handle.net/20.500.11840/pi1523
127,26,https://hdl.handle.net/20.500.11840/pi1525
2,1,https://hdl.handle.net/20.500.11840/pi1526
49,5,https://hdl.handle.net/20.500.11840/pi1527
2,1,https://hdl.handle.net/20.500.11840/pi1528
56,9,https://hdl.handle.net/20.500.11840/pi1529
8,3,https://hdl.handle.net/20.500.11840/pi1530
5,1,https://hdl.handle.net/20.500.11840/pi1533
1,1,https://hdl.handle.net/20.500.11840/pi1535
371,47,https://hdl.handle.net/20.500.11840/pi1536
4,1,https://hdl.handle.net/20.500.11840/pi1537
8,1,https://hdl.handle.net/20.500.11840/pi1538
1,1,https://hdl.handle.net/20.500.11840/pi1539
1,1,https://hdl.handle.net/20.500.11840/pi154
13,4,https://hdl.handle.net/20.500.11840/pi1540
12,1,https://hdl.handle.net/20.500.11840/pi1541
2,1,https://hdl.handle.net/20.500.11840/pi1542
4,3,https://hdl.handle.net/20.500.11840/pi1544
129,3,https://hdl.handle.net/20.500.11840/pi1545
3,1,https://hdl.handle.net/20.500.11840/pi1546
28,8,https://hdl.handle.net/20.500.11840/pi155
135,21,https://hdl.handle.net/20.500.11840/pi1550
16,1,https://hdl.handle.net/20.500.11840/pi1551
12,3,https://hdl.handle.net/20.500.11840/pi1552
1,1,https://hdl.handle.net/20.500.11840/pi1553
7,2,https://hdl.handle.net/20.500.11840/pi1555
1,1,https://hdl.handle.net/20.500.11840/pi1557
2,1,https://hdl.handle.net/20.500.11840/pi1558
8,1,https://hdl.handle.net/20.500.11840/pi1559
4,1,https://hdl.handle.net/20.500.11840/pi156
3,2,https://hdl.handle.net/20.500.11840/pi1560
6,2,https://hdl.handle.net/20.500.11840/pi1561
38,2,https://hdl.handle.net/20.500.11840/pi1562
1,1,https://hdl.handle.net/20.500.11840/pi1564
16,6,https://hdl.handle.net/20.500.11840/pi1565
1,1,https://hdl.handle.net/20.500.11840/pi1566
22,6,https://hdl.handle.net/20.500.11840/pi1567
13,2,https://hdl.handle.net/20.500.11840/pi1570
3,1,https://hdl.handle.net/20.500.11840/pi1571
10,5,https://hdl.handle.net/20.500.11840/pi1572
85,23,https://hdl.handle.net/20.500.11840/pi1573
823,14,https://hdl.handle.net/20.500.11840/pi1576
2,1,https://hdl.handle.net/20.500.11840/pi158
1,1,https://hdl.handle.net/20.500.11840/pi1581
1,1,https://hdl.handle.net/20.500.11840/pi1583
2,2,https://hdl.handle.net/20.500.11840/pi1588
13,3,https://hdl.handle.net/20.500.11840/pi1592
5,1,https://hdl.handle.net/20.500.11840/pi1593
4,1,https://hdl.handle.net/20.500.11840/pi1594
9,3,https://hdl.handle.net/20.500.11840/pi1595
3,2,https://hdl.handle.net/20.500.11840/pi1596
1,1,https://hdl.handle.net/20.500.11840/pi1598
2,1,https://hdl.handle.net/20.500.11840/pi1599
10,7,https://hdl.handle.net/20.500.11840/pi16
1,1,https://hdl.handle.net/20.500.11840/pi160
10,4,https://hdl.handle.net/20.500.11840/pi1601
28,2,https://hdl.handle.net/20.500.11840/pi1602
9,5,https://hdl.handle.net/20.500.11840/pi1603
1,1,https://hdl.handle.net/20.500.11840/pi1604
1,1,https://hdl.handle.net/20.500.11840/pi1605
1,1,https://hdl.handle.net/20.500.11840/pi1606
27,8,https://hdl.handle.net/20.500.11840/pi1607
28,4,https://hdl.handle.net/20.500.11840/pi1609
1,1,https://hdl.handle.net/20.500.11840/pi1610
1,1,https://hdl.handle.net/20.500.11840/pi1611
1,1,https://hdl.handle.net/20.500.11840/pi1612
1,1,https://hdl.handle.net/20.500.11840/pi1614
3,2,https://hdl.handle.net/20.500.11840/pi1615
3,1,https://hdl.handle.net/20.500.11840/pi1616
1,1,https://hdl.handle.net/20.500.11840/pi1617
4,2,https://hdl.handle.net/20.500.11840/pi1618
3,1,https://hdl.handle.net/20.500.11840/pi1619
1,1,https://hdl.handle.net/20.500.11840/pi1621
1,1,https://hdl.handle.net/20.500.11840/pi1622
1,1,https://hdl.handle.net/20.500.11840/pi1624
1,2,https://hdl.handle.net/20.500.11840/pi1626
436,7,https://hdl.handle.net/20.500.11840/pi1628
6,1,https://hdl.handle.net/20.500.11840/pi1629
1,1,https://hdl.handle.net/20.500.11840/pi1630
6,1,https://hdl.handle.net/20.500.11840/pi1631
15,6,https://hdl.handle.net/20.500.11840/pi1632
9,8,https://hdl.handle.net/20.500.11840/pi1633
2,1,https://hdl.handle.net/20.500.11840/pi1637
2,2,https://hdl.handle.net/20.500.11840/pi1638
7,2,https://hdl.handle.net/20.500.11840/pi1639
1,1,https://hdl.handle.net/20.500.11840/pi164
4,4,https://hdl.handle.net/20.500.11840/pi1640
38,2,https://hdl.handle.net/20.500.11840/pi1642
3,1,https://hdl.handle.net/20.500.11840/pi1645
17,3,https://hdl.handle.net/20.500.11840/pi1646
61,4,https://hdl.handle.net/20.500.11840/pi1648
20,4,https://hdl.handle.net/20.500.11840/pi1649
10,3,https://hdl.handle.net/20.500.11840/pi1651
2,1,https://hdl.handle.net/20.500.11840/pi1653
5,3,https://hdl.handle.net/20.500.11840/pi1654
8,6,https://hdl.handle.net/20.500.11840/pi1655
2,2,https://hdl.handle.net/20.500.11840/pi1656
23,12,https://hdl.handle.net/20.500.11840/pi1658
510,55,https://hdl.handle.net/20.500.11840/pi1659
322,33,https://hdl.handle.net/20.500.11840/pi1661
1,1,https://hdl.handle.net/20.500.11840/pi1662
11,4,https://hdl.handle.net/20.500.11840/pi1663
1,1,https://hdl.handle.net/20.500.11840/pi1666
2,1,https://hdl.handle.net/20.500.11840/pi1669
27,5,https://hdl.handle.net/20.500.11840/pi1671
1,1,https://hdl.handle.net/20.500.11840/pi1674
23,6,https://hdl.handle.net/20.500.11840/pi1675
11,4,https://hdl.handle.net/20.500.11840/pi1676
19,7,https://hdl.handle.net/20.500.11840/pi1677
3,1,https://hdl.handle.net/20.500.11840/pi1678
1,1,https://hdl.handle.net/20.500.11840/pi168
34,1,https://hdl.handle.net/20.500.11840/pi1680
4,2,https://hdl.handle.net/20.500.11840/pi1681
1,1,https://hdl.handle.net/20.500.11840/pi1682
1,1,https://hdl.handle.net/20.500.11840/pi1683
4,2,https://hdl.handle.net/20.500.11840/pi1685
2,2,https://hdl.handle.net/20.500.11840/pi1688
5,1,https://hdl.handle.net/20.500.11840/pi169
28,10,https://hdl.handle.net/20.500.11840/pi1690
3,2,https://hdl.handle.net/20.500.11840/pi1691
5,2,https://hdl.handle.net/20.500.11840/pi1694
28,2,https://hdl.handle.net/20.500.11840/pi1696
10,5,https://hdl.handle.net/20.500.11840/pi1698
1,1,https://hdl.handle.net/20.500.11840/pi170
1,1,https://hdl.handle.net/20.500.11840/pi1700
27,9,https://hdl.handle.net/20.500.11840/pi1701
2,1,https://hdl.handle.net/20.500.11840/pi1704
1,1,https://hdl.handle.net/20.500.11840/pi1705
23,8,https://hdl.handle.net/20.500.11840/pi1707
27,6,https://hdl.handle.net/20.500.11840/pi1709
10,2,https://hdl.handle.net/20.500.11840/pi1711
1,1,https://hdl.handle.net/20.500.11840/pi1715
3,1,https://hdl.handle.net/20.500.11840/pi1718
42,3,https://hdl.handle.net/20.500.11840/pi1719
2,1,https://hdl.handle.net/20.500.11840/pi1720
3,1,https://hdl.handle.net/20.500.11840/pi1721
6,3,https://hdl.handle.net/20.500.11840/pi1724
32,2,https://hdl.handle.net/20.500.11840/pi1727
9,6,https://hdl.handle.net/20.500.11840/pi1729
1378,22,https://hdl.handle.net/20.500.11840/pi1731
1,1,https://hdl.handle.net/20.500.11840/pi1732
1,1,https://hdl.handle.net/20.500.11840/pi1733
5,5,https://hdl.handle.net/20.500.11840/pi1735
4,6,https://hdl.handle.net/20.500.11840/pi1736
1,1,https://hdl.handle.net/20.500.11840/pi1737
201,3,https://hdl.handle.net/20.500.11840/pi174
1,1,https://hdl.handle.net/20.500.11840/pi1740
1,1,https://hdl.handle.net/20.500.11840/pi1741
6,2,https://hdl.handle.net/20.500.11840/pi1742
2,5,https://hdl.handle.net/20.500.11840/pi1744
6,3,https://hdl.handle.net/20.500.11840/pi1745
1,1,https://hdl.handle.net/20.500.11840/pi1746
3,2,https://hdl.handle.net/20.500.11840/pi1747
14,3,https://hdl.handle.net/20.500.11840/pi1748
16,3,https://hdl.handle.net/20.500.11840/pi175
1,1,https://hdl.handle.net/20.500.11840/pi1750
13,6,https://hdl.handle.net/20.500.11840/pi1751
15,1,https://hdl.handle.net/20.500.11840/pi1752
1,1,https://hdl.handle.net/20.500.11840/pi1753
1,3,https://hdl.handle.net/20.500.11840/pi1754
1,1,https://hdl.handle.net/20.500.11840/pi1759
7,8,https://hdl.handle.net/20.500.11840/pi176
9,4,https://hdl.handle.net/20.500.11840/pi1760
29,7,https://hdl.handle.net/20.500.11840/pi1762
2,2,https://hdl.handle.net/20.500.11840/pi1763
49,19,https://hdl.handle.net/20.500.11840/pi1764
81,30,https://hdl.handle.net/20.500.11840/pi1765
1,1,https://hdl.handle.net/20.500.11840/pi1766
8,2,https://hdl.handle.net/20.500.11840/pi1768
6,2,https://hdl.handle.net/20.500.11840/pi1769
27,7,https://hdl.handle.net/20.500.11840/pi177
3,2,https://hdl.handle.net/20.500.11840/pi1770
5,1,https://hdl.handle.net/20.500.11840/pi1771
16,4,https://hdl.handle.net/20.500.11840/pi1774
1,1,https://hdl.handle.net/20.500.11840/pi1775
3,3,https://hdl.handle.net/20.500.11840/pi1776
